normalized_title,count,loinc_codes,depths,example_concepts
REDUCTION IN THE RISK OF RECURRENCE OF DVT AND PE,1,42229-5,1,apixaban
ADMINISTRATION OPTIONS,1,42229-5,1,apixaban
SPINAL/EPIDURAL ANESTHESIA OR PUNCTURE,1,42229-5,1,apixaban
ACUTE PE IN HEMODYNAMICALLY UNSTABLE PATIENTS OR PATIENTS WHO REQUIRE THROMBOLYSIS OR PULMONARY EMBOLECTOMY,1,42229-5,1,apixaban
INCREASED RISK OF THROMBOSIS IN PATIENTS WITH TRIPLE POSITIVE ANTIPHOSPHOLIPID SYNDROME,1,42229-5,1,apixaban
ARISTOTLE,1,42229-5,2,apixaban
AVERROES,1,42229-5,2,apixaban
TREATMENT OF DVT AND PE AND REDUCTION IN THE RISK OF RECURRENCE OF DVT AND PE,1,42229-5,1,apixaban
AMPLIFY,1,42229-5,2,apixaban
AMPLIFY-EXT,1,42229-5,2,apixaban
RECOMMENDED DOSAGE,1,42229-5,1,isotretinoin
DURATION OF USE,1,42229-5,1,isotretinoin
LABORATORY TESTING PRIOR TO ADMINISTRATION,1,42229-5,1,isotretinoin
HYPERSENSITIVITY,1,42229-5,1,isotretinoin
IPLEDGE PROGRAM,1,42229-5,1,isotretinoin
ISOTRETINOIN AND ABSORICA LD ARE NOT SUBSTITUTABLE,1,42229-5,1,isotretinoin
PSYCHIATRIC DISORDERS,1,42229-5,1,isotretinoin
INTRACRANIAL HYPERTENSION (PSEUDOTUMOR CEREBRI),1,42229-5,1,isotretinoin
SERIOUS SKIN REACTIONS,1,42229-5,1,isotretinoin
PANCREATITIS,1,42229-5,1,isotretinoin
LIPID ABNORMALITIES,1,42229-5,1,isotretinoin
HEARING IMPAIRMENT,1,42229-5,1,isotretinoin
INFLAMMATORY BOWEL DISEASE,1,42229-5,1,isotretinoin
MUSCULOSKELETAL ABNORMALITIES,1,42229-5,1,isotretinoin
OCULAR ABNORMALITIES,1,42229-5,1,isotretinoin
LABORATORY ABNORMALITIES AND LABORATORY MONITORING FOR ADVERSE REACTIONS,1,42229-5,1,isotretinoin
VITAMIN A,1,42229-5,1,isotretinoin
TETRACYCLINES,1,42229-5,1,isotretinoin
